emoji,name,group,sub_group,codepoints,labels
💂🏽‍♀,woman guard: medium skin tone,People & Body,person-role,1F482 1F3FD 200D 2640,
💂🏾‍♀️,woman guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE 200D 2640 FE0F,
💂🏾‍♀,woman guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE 200D 2640,
💂🏿‍♀️,woman guard: dark skin tone,People & Body,person-role,1F482 1F3FF 200D 2640 FE0F,
💂🏿‍♀,woman guard: dark skin tone,People & Body,person-role,1F482 1F3FF 200D 2640,
👷,construction worker,People & Body,person-role,1F477,
👷🏻,construction worker: light skin tone,People & Body,person-role,1F477 1F3FB,
👷🏼,construction worker: medium-light skin tone,People & Body,person-role,1F477 1F3FC,
👷🏽,construction worker: medium skin tone,People & Body,person-role,1F477 1F3FD,
👷🏾,construction worker: medium-dark skin tone,People & Body,person-role,1F477 1F3FE,
👷🏿,construction worker: dark skin tone,People & Body,person-role,1F477 1F3FF,
👷‍♂️,man construction worker,People & Body,person-role,1F477 200D 2642 FE0F,
👷‍♂,man construction worker,People & Body,person-role,1F477 200D 2642,
👷🏻‍♂️,man construction worker: light skin tone,People & Body,person-role,1F477 1F3FB 200D 2642 FE0F,
👷🏻‍♂,man construction worker: light skin tone,People & Body,person-role,1F477 1F3FB 200D 2642,
👷🏼‍♂️,man construction worker: medium-light skin tone,People & Body,person-role,1F477 1F3FC 200D 2642 FE0F,
👷🏼‍♂,man construction worker: medium-light skin tone,People & Body,person-role,1F477 1F3FC 200D 2642,
👷🏽‍♂️,man construction worker: medium skin tone,People & Body,person-role,1F477 1F3FD 200D 2642 FE0F,
👷🏽‍♂,man construction worker: medium skin tone,People & Body,person-role,1F477 1F3FD 200D 2642,
👷🏾‍♂️,man construction worker: medium-dark skin tone,People & Body,person-role,1F477 1F3FE 200D 2642 FE0F,
👷🏾‍♂,man construction worker: medium-dark skin tone,People & Body,person-role,1F477 1F3FE 200D 2642,
👷🏿‍♂️,man construction worker: dark skin tone,People & Body,person-role,1F477 1F3FF 200D 2642 FE0F,
👷🏿‍♂,man construction worker: dark skin tone,People & Body,person-role,1F477 1F3FF 200D 2642,
👷‍♀️,woman construction worker,People & Body,person-role,1F477 200D 2640 FE0F,
👷‍♀,woman construction worker,People & Body,person-role,1F477 200D 2640,
👷🏻‍♀️,woman construction worker: light skin tone,People & Body,person-role,1F477 1F3FB 200D 2640 FE0F,
👷🏻‍♀,woman construction worker: light skin tone,People & Body,person-role,1F477 1F3FB 200D 2640,
👷🏼‍♀️,woman construction worker: medium-light skin tone,People & Body,person-role,1F477 1F3FC 200D 2640 FE0F,
👷🏼‍♀,woman construction worker: medium-light skin tone,People & Body,person-role,1F477 1F3FC 200D 2640,
👷🏽‍♀️,woman construction worker: medium skin tone,People & Body,person-role,1F477 1F3FD 200D 2640 FE0F,
👷🏽‍♀,woman construction worker: medium skin tone,People & Body,person-role,1F477 1F3FD 200D 2640,
👷🏾‍♀️,woman construction worker: medium-dark skin tone,People & Body,person-role,1F477 1F3FE 200D 2640 FE0F,
👷🏾‍♀,woman construction worker: medium-dark skin tone,People & Body,person-role,1F477 1F3FE 200D 2640,
👷🏿‍♀️,woman construction worker: dark skin tone,People & Body,person-role,1F477 1F3FF 200D 2640 FE0F,
👷🏿‍♀,woman construction worker: dark skin tone,People & Body,person-role,1F477 1F3FF 200D 2640,
🤴,prince,People & Body,person-role,1F934,
🤴🏻,prince: light skin tone,People & Body,person-role,1F934 1F3FB,
🤴🏼,prince: medium-light skin tone,People & Body,person-role,1F934 1F3FC,
🤴🏽,prince: medium skin tone,People & Body,person-role,1F934 1F3FD,
🤴🏾,prince: medium-dark skin tone,People & Body,person-role,1F934 1F3FE,
🤴🏿,prince: dark skin tone,People & Body,person-role,1F934 1F3FF,
👸,princess,People & Body,person-role,1F478,
👸🏻,princess: light skin tone,People & Body,person-role,1F478 1F3FB,
👸🏼,princess: medium-light skin tone,People & Body,person-role,1F478 1F3FC,
👸🏽,princess: medium skin tone,People & Body,person-role,1F478 1F3FD,
👸🏾,princess: medium-dark skin tone,People & Body,person-role,1F478 1F3FE,
👸🏿,princess: dark skin tone,People & Body,person-role,1F478 1F3FF,
👳,person wearing turban,People & Body,person-role,1F473,
👳🏻,person wearing turban: light skin tone,People & Body,person-role,1F473 1F3FB,
👳🏼,person wearing turban: medium-light skin tone,People & Body,person-role,1F473 1F3FC,
👳🏽,person wearing turban: medium skin tone,People & Body,person-role,1F473 1F3FD,
👳🏾,person wearing turban: medium-dark skin tone,People & Body,person-role,1F473 1F3FE,
👳🏿,person wearing turban: dark skin tone,People & Body,person-role,1F473 1F3FF,
👳‍♂️,man wearing turban,People & Body,person-role,1F473 200D 2642 FE0F,
👳‍♂,man wearing turban,People & Body,person-role,1F473 200D 2642,
👳🏻‍♂️,man wearing turban: light skin tone,People & Body,person-role,1F473 1F3FB 200D 2642 FE0F,
👳🏻‍♂,man wearing turban: light skin tone,People & Body,person-role,1F473 1F3FB 200D 2642,
👳🏼‍♂️,man wearing turban: medium-light skin tone,People & Body,person-role,1F473 1F3FC 200D 2642 FE0F,
👳🏼‍♂,man wearing turban: medium-light skin tone,People & Body,person-role,1F473 1F3FC 200D 2642,
👳🏽‍♂️,man wearing turban: medium skin tone,People & Body,person-role,1F473 1F3FD 200D 2642 FE0F,
👳🏽‍♂,man wearing turban: medium skin tone,People & Body,person-role,1F473 1F3FD 200D 2642,
👳🏾‍♂️,man wearing turban: medium-dark skin tone,People & Body,person-role,1F473 1F3FE 200D 2642 FE0F,
👳🏾‍♂,man wearing turban: medium-dark skin tone,People & Body,person-role,1F473 1F3FE 200D 2642,
👳🏿‍♂️,man wearing turban: dark skin tone,People & Body,person-role,1F473 1F3FF 200D 2642 FE0F,
👳🏿‍♂,man wearing turban: dark skin tone,People & Body,person-role,1F473 1F3FF 200D 2642,
👳‍♀️,woman wearing turban,People & Body,person-role,1F473 200D 2640 FE0F,
👳‍♀,woman wearing turban,People & Body,person-role,1F473 200D 2640,
👳🏻‍♀️,woman wearing turban: light skin tone,People & Body,person-role,1F473 1F3FB 200D 2640 FE0F,
👳🏻‍♀,woman wearing turban: light skin tone,People & Body,person-role,1F473 1F3FB 200D 2640,
👳🏼‍♀️,woman wearing turban: medium-light skin tone,People & Body,person-role,1F473 1F3FC 200D 2640 FE0F,
👳🏼‍♀,woman wearing turban: medium-light skin tone,People & Body,person-role,1F473 1F3FC 200D 2640,
👳🏽‍♀️,woman wearing turban: medium skin tone,People & Body,person-role,1F473 1F3FD 200D 2640 FE0F,
👳🏽‍♀,woman wearing turban: medium skin tone,People & Body,person-role,1F473 1F3FD 200D 2640,
👳🏾‍♀️,woman wearing turban: medium-dark skin tone,People & Body,person-role,1F473 1F3FE 200D 2640 FE0F,
👳🏾‍♀,woman wearing turban: medium-dark skin tone,People & Body,person-role,1F473 1F3FE 200D 2640,
👳🏿‍♀️,woman wearing turban: dark skin tone,People & Body,person-role,1F473 1F3FF 200D 2640 FE0F,
👳🏿‍♀,woman wearing turban: dark skin tone,People & Body,person-role,1F473 1F3FF 200D 2640,
👲,man with Chinese cap,People & Body,person-role,1F472,
👲🏻,man with Chinese cap: light skin tone,People & Body,person-role,1F472 1F3FB,
👲🏼,man with Chinese cap: medium-light skin tone,People & Body,person-role,1F472 1F3FC,
👲🏽,man with Chinese cap: medium skin tone,People & Body,person-role,1F472 1F3FD,
👲🏾,man with Chinese cap: medium-dark skin tone,People & Body,person-role,1F472 1F3FE,
👲🏿,man with Chinese cap: dark skin tone,People & Body,person-role,1F472 1F3FF,
🧕,woman with headscarf,People & Body,person-role,1F9D5,
🧕🏻,woman with headscarf: light skin tone,People & Body,person-role,1F9D5 1F3FB,
🧕🏼,woman with headscarf: medium-light skin tone,People & Body,person-role,1F9D5 1F3FC,
🧕🏽,woman with headscarf: medium skin tone,People & Body,person-role,1F9D5 1F3FD,
🧕🏾,woman with headscarf: medium-dark skin tone,People & Body,person-role,1F9D5 1F3FE,
🧕🏿,woman with headscarf: dark skin tone,People & Body,person-role,1F9D5 1F3FF,
🤵,man in tuxedo,People & Body,person-role,1F935,
🤵🏻,man in tuxedo: light skin tone,People & Body,person-role,1F935 1F3FB,
🤵🏼,man in tuxedo: medium-light skin tone,People & Body,person-role,1F935 1F3FC,
🤵🏽,man in tuxedo: medium skin tone,People & Body,person-role,1F935 1F3FD,
🤵🏾,man in tuxedo: medium-dark skin tone,People & Body,person-role,1F935 1F3FE,
🤵🏿,man in tuxedo: dark skin tone,People & Body,person-role,1F935 1F3FF,
👰,bride with veil,People & Body,person-role,1F470,
👰🏻,bride with veil: light skin tone,People & Body,person-role,1F470 1F3FB,
👰🏼,bride with veil: medium-light skin tone,People & Body,person-role,1F470 1F3FC,
👰🏽,bride with veil: medium skin tone,People & Body,person-role,1F470 1F3FD,
👰🏾,bride with veil: medium-dark skin tone,People & Body,person-role,1F470 1F3FE,
👰🏿,bride with veil: dark skin tone,People & Body,person-role,1F470 1F3FF,
🤰,pregnant woman,People & Body,person-role,1F930,
🤰🏻,pregnant woman: light skin tone,People & Body,person-role,1F930 1F3FB,
🤰🏼,pregnant woman: medium-light skin tone,People & Body,person-role,1F930 1F3FC,
🤰🏽,pregnant woman: medium skin tone,People & Body,person-role,1F930 1F3FD,
🤰🏾,pregnant woman: medium-dark skin tone,People & Body,person-role,1F930 1F3FE,
🤰🏿,pregnant woman: dark skin tone,People & Body,person-role,1F930 1F3FF,
🤱,breast-feeding,People & Body,person-role,1F931,
🤱🏻,breast-feeding: light skin tone,People & Body,person-role,1F931 1F3FB,
🤱🏼,breast-feeding: medium-light skin tone,People & Body,person-role,1F931 1F3FC,
🤱🏽,breast-feeding: medium skin tone,People & Body,person-role,1F931 1F3FD,
🤱🏾,breast-feeding: medium-dark skin tone,People & Body,person-role,1F931 1F3FE,
🤱🏿,breast-feeding: dark skin tone,People & Body,person-role,1F931 1F3FF,
👼,baby angel,People & Body,person-fantasy,1F47C,
👼🏻,baby angel: light skin tone,People & Body,person-fantasy,1F47C 1F3FB,
👼🏼,baby angel: medium-light skin tone,People & Body,person-fantasy,1F47C 1F3FC,
👼🏽,baby angel: medium skin tone,People & Body,person-fantasy,1F47C 1F3FD,
👼🏾,baby angel: medium-dark skin tone,People & Body,person-fantasy,1F47C 1F3FE,
👼🏿,baby angel: dark skin tone,People & Body,person-fantasy,1F47C 1F3FF,
🎅,Santa Claus,People & Body,person-fantasy,1F385,
🎅🏻,Santa Claus: light skin tone,People & Body,person-fantasy,1F385 1F3FB,
🎅🏼,Santa Claus: medium-light skin tone,People & Body,person-fantasy,1F385 1F3FC,
🎅🏽,Santa Claus: medium skin tone,People & Body,person-fantasy,1F385 1F3FD,
🎅🏾,Santa Claus: medium-dark skin tone,People & Body,person-fantasy,1F385 1F3FE,
🎅🏿,Santa Claus: dark skin tone,People & Body,person-fantasy,1F385 1F3FF,
🤶,Mrs. Claus,People & Body,person-fantasy,1F936,
🤶🏻,Mrs. Claus: light skin tone,People & Body,person-fantasy,1F936 1F3FB,
🤶🏼,Mrs. Claus: medium-light skin tone,People & Body,person-fantasy,1F936 1F3FC,
🤶🏽,Mrs. Claus: medium skin tone,People & Body,person-fantasy,1F936 1F3FD,
🤶🏾,Mrs. Claus: medium-dark skin tone,People & Body,person-fantasy,1F936 1F3FE,
🤶🏿,Mrs. Claus: dark skin tone,People & Body,person-fantasy,1F936 1F3FF,
🦸,superhero,People & Body,person-fantasy,1F9B8,
🦸🏻,superhero: light skin tone,People & Body,person-fantasy,1F9B8 1F3FB,
🦸🏼,superhero: medium-light skin tone,People & Body,person-fantasy,1F9B8 1F3FC,
🦸🏽,superhero: medium skin tone,People & Body,person-fantasy,1F9B8 1F3FD,
🦸🏾,superhero: medium-dark skin tone,People & Body,person-fantasy,1F9B8 1F3FE,
🦸🏿,superhero: dark skin tone,People & Body,person-fantasy,1F9B8 1F3FF,
🦸‍♂️,man superhero,People & Body,person-fantasy,1F9B8 200D 2642 FE0F,
🦸‍♂,man superhero,People & Body,person-fantasy,1F9B8 200D 2642,
🦸🏻‍♂️,man superhero: light skin tone,People & Body,person-fantasy,1F9B8 1F3FB 200D 2642 FE0F,
🦸🏻‍♂,man superhero: light skin tone,People & Body,person-fantasy,1F9B8 1F3FB 200D 2642,
🦸🏼‍♂️,man superhero: medium-light skin tone,People & Body,person-fantasy,1F9B8 1F3FC 200D 2642 FE0F,
🦸🏼‍♂,man superhero: medium-light skin tone,People & Body,person-fantasy,1F9B8 1F3FC 200D 2642,
🦸🏽‍♂️,man superhero: medium skin tone,People & Body,person-fantasy,1F9B8 1F3FD 200D 2642 FE0F,
🦸🏽‍♂,man superhero: medium skin tone,People & Body,person-fantasy,1F9B8 1F3FD 200D 2642,
🦸🏾‍♂️,man superhero: medium-dark skin tone,People & Body,person-fantasy,1F9B8 1F3FE 200D 2642 FE0F,
🦸🏾‍♂,man superhero: medium-dark skin tone,People & Body,person-fantasy,1F9B8 1F3FE 200D 2642,
🦸🏿‍♂️,man superhero: dark skin tone,People & Body,person-fantasy,1F9B8 1F3FF 200D 2642 FE0F,
🦸🏿‍♂,man superhero: dark skin tone,People & Body,person-fantasy,1F9B8 1F3FF 200D 2642,
🦸‍♀️,woman superhero,People & Body,person-fantasy,1F9B8 200D 2640 FE0F,
🦸‍♀,woman superhero,People & Body,person-fantasy,1F9B8 200D 2640,
🦸🏻‍♀️,woman superhero: light skin tone,People & Body,person-fantasy,1F9B8 1F3FB 200D 2640 FE0F,
🦸🏻‍♀,woman superhero: light skin tone,People & Body,person-fantasy,1F9B8 1F3FB 200D 2640,
🦸🏼‍♀️,woman superhero: medium-light skin tone,People & Body,person-fantasy,1F9B8 1F3FC 200D 2640 FE0F,
🦸🏼‍♀,woman superhero: medium-light skin tone,People & Body,person-fantasy,1F9B8 1F3FC 200D 2640,
🦸🏽‍♀️,woman superhero: medium skin tone,People & Body,person-fantasy,1F9B8 1F3FD 200D 2640 FE0F,
🦸🏽‍♀,woman superhero: medium skin tone,People & Body,person-fantasy,1F9B8 1F3FD 200D 2640,
🦸🏾‍♀️,woman superhero: medium-dark skin tone,People & Body,person-fantasy,1F9B8 1F3FE 200D 2640 FE0F,
🦸🏾‍♀,woman superhero: medium-dark skin tone,People & Body,person-fantasy,1F9B8 1F3FE 200D 2640,
🦸🏿‍♀️,woman superhero: dark skin tone,People & Body,person-fantasy,1F9B8 1F3FF 200D 2640 FE0F,
🦸🏿‍♀,woman superhero: dark skin tone,People & Body,person-fantasy,1F9B8 1F3FF 200D 2640,
🦹,supervillain,People & Body,person-fantasy,1F9B9,
🦹🏻,supervillain: light skin tone,People & Body,person-fantasy,1F9B9 1F3FB,
🦹🏼,supervillain: medium-light skin tone,People & Body,person-fantasy,1F9B9 1F3FC,
🦹🏽,supervillain: medium skin tone,People & Body,person-fantasy,1F9B9 1F3FD,
🦹🏾,supervillain: medium-dark skin tone,People & Body,person-fantasy,1F9B9 1F3FE,
🦹🏿,supervillain: dark skin tone,People & Body,person-fantasy,1F9B9 1F3FF,
🦹‍♂️,man supervillain,People & Body,person-fantasy,1F9B9 200D 2642 FE0F,
🦹‍♂,man supervillain,People & Body,person-fantasy,1F9B9 200D 2642,
🦹🏻‍♂️,man supervillain: light skin tone,People & Body,person-fantasy,1F9B9 1F3FB 200D 2642 FE0F,
🦹🏻‍♂,man supervillain: light skin tone,People & Body,person-fantasy,1F9B9 1F3FB 200D 2642,
🦹🏼‍♂️,man supervillain: medium-light skin tone,People & Body,person-fantasy,1F9B9 1F3FC 200D 2642 FE0F,
🦹🏼‍♂,man supervillain: medium-light skin tone,People & Body,person-fantasy,1F9B9 1F3FC 200D 2642,
🦹🏽‍♂️,man supervillain: medium skin tone,People & Body,person-fantasy,1F9B9 1F3FD 200D 2642 FE0F,
🦹🏽‍♂,man supervillain: medium skin tone,People & Body,person-fantasy,1F9B9 1F3FD 200D 2642,
🦹🏾‍♂️,man supervillain: medium-dark skin tone,People & Body,person-fantasy,1F9B9 1F3FE 200D 2642 FE0F,
🦹🏾‍♂,man supervillain: medium-dark skin tone,People & Body,person-fantasy,1F9B9 1F3FE 200D 2642,
🦹🏿‍♂️,man supervillain: dark skin tone,People & Body,person-fantasy,1F9B9 1F3FF 200D 2642 FE0F,
🦹🏿‍♂,man supervillain: dark skin tone,People & Body,person-fantasy,1F9B9 1F3FF 200D 2642,
🦹‍♀️,woman supervillain,People & Body,person-fantasy,1F9B9 200D 2640 FE0F,
🦹‍♀,woman supervillain,People & Body,person-fantasy,1F9B9 200D 2640,
🦹🏻‍♀️,woman supervillain: light skin tone,People & Body,person-fantasy,1F9B9 1F3FB 200D 2640 FE0F,
🦹🏻‍♀,woman supervillain: light skin tone,People & Body,person-fantasy,1F9B9 1F3FB 200D 2640,
🦹🏼‍♀️,woman supervillain: medium-light skin tone,People & Body,person-fantasy,1F9B9 1F3FC 200D 2640 FE0F,
🦹🏼‍♀,woman supervillain: medium-light skin tone,People & Body,person-fantasy,1F9B9 1F3FC 200D 2640,
🦹🏽‍♀️,woman supervillain: medium skin tone,People & Body,person-fantasy,1F9B9 1F3FD 200D 2640 FE0F,
🦹🏽‍♀,woman supervillain: medium skin tone,People & Body,person-fantasy,1F9B9 1F3FD 200D 2640,
🦹🏾‍♀️,woman supervillain: medium-dark skin tone,People & Body,person-fantasy,1F9B9 1F3FE 200D 2640 FE0F,
🦹🏾‍♀,woman supervillain: medium-dark skin tone,People & Body,person-fantasy,1F9B9 1F3FE 200D 2640,
🦹🏿‍♀️,woman supervillain: dark skin tone,People & Body,person-fantasy,1F9B9 1F3FF 200D 2640 FE0F,
🦹🏿‍♀,woman supervillain: dark skin tone,People & Body,person-fantasy,1F9B9 1F3FF 200D 2640,
🧙,mage,People & Body,person-fantasy,1F9D9,
🧙🏻,mage: light skin tone,People & Body,person-fantasy,1F9D9 1F3FB,
🧙🏼,mage: medium-light skin tone,People & Body,person-fantasy,1F9D9 1F3FC,
🧙🏽,mage: medium skin tone,People & Body,person-fantasy,1F9D9 1F3FD,
🧙🏾,mage: medium-dark skin tone,People & Body,person-fantasy,1F9D9 1F3FE,
🧙🏿,mage: dark skin tone,People & Body,person-fantasy,1F9D9 1F3FF,
